Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
97,490,97In ,  ,-47390#      , 400#      ,            ,           ,  , , ,  36     ,ms, 6      ,9/2+#         ,,2011, B+=100;B+p=2.3 13;p ?
97,491,97In ,m ,-46990#      , 410#      ,  400#      , 100#      ,  , , ,   0.12  ,ms, 0.07   ,1/2-#         ,20,2018, p ?
98,350,98Br ,  ,-28050#      , 400#      ,            ,           ,  , , ,  15#    ,ms, >400ns ,              ,20,2010, B- ?;B-n ?;B-2n ?
98,360,98Kr ,  ,-44120#      , 300#      ,            ,           ,  , , ,  42.8   ,ms, 3.6    ,0+            ,20,1997, B-=100;B-n=7.0 10;B-2n ?
98,370,98Rb ,  ,-54369       ,  16       ,            ,           ,  , , , 115     ,ms, 6      ,(0-)*         ,20,1971, B-=100;B-n=14.3 9;B-2n=0.054 8
98,371,98Rb ,m ,-54296       ,  20       ,   73       ,  26       ,BD, , ,  96     ,ms, 3      ,(3+)*         ,20,1980, B-=100;B-n ?;B-2n ?
98,372,98Rb ,n ,-54191       ,  16       ,  178.5     ,   0.4     ,  , , , 358     ,ns, 7      ,(2-)          ,20,2009, IT=100
98,380,98Sr ,  ,-66422       ,   3       ,            ,           ,  , , , 653     ,ms, 2      ,0+            ,20,1971, B-=100;B-n=0.23 3
98,390,98Y  ,  ,-72289       ,   8       ,            ,           ,  , , , 548     ,ms, 2      ,0-*           ,20,1970, B-=100;B-n=0.33 3
98,391,98Y  ,m ,-72118       ,   8       ,  170.78    ,   0.05    ,  , , , 615     ,ns, 8      ,2-            ,20,1972, IT=100
98,392,98Y  ,n ,-71823       ,   8       ,  465.7     ,   0.7     ,MD, , ,   2.32  , s, 0.08   ,"(6,7)+        ",20,1977, B-~100;IT ?;B-n=3.44 95
98,393,98Y  ,p ,-71793       ,   8       ,  496.10    ,   0.11    ,  , , ,   6.90  ,us, 0.054  ,(4)-          ,20,1970, IT=100
98,394,98Y  ,q ,-71695       ,  13       ,  594       ,  10       ,  , , , 180     ,ns, 7      ,"(3-,4-)       ",,2017, IT=100
98,395,98Y  ,r ,-71317       ,   8       ,  972.17    ,   0.20    ,  , , , 450     ,ns, 150    ,(8+)          ,20,2017, IT=100
98,396,98Y  ,x ,-71108       ,   8       , 1181.50    ,   0.18    ,  , , , 762     ,ns, 14     ,(10-)         ,20,1972, IT=100
98,400,98Zr ,  ,-81282       ,   8       ,            ,           ,  , , ,  30.7   , s, 0.4    ,0+            ,20,1967, B-=100
98,401,98Zr ,m ,-74680       ,   8       , 6601.9     ,   1.1     ,  , , ,   1.9   ,us, 0.2    ,(17-)         ,20,2005, IT=100
