Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
1,0,1n   ,  ,  8071.3181  ,   0.0004  ,            ,           ,  , , , 609.8   , s, 0.6    ,1/2+*         ,6,1932, B-=100
1,10,1H   ,  ,  7288.971064,   0.000013,            ,           ,  , , , stbl    ,  ,        ,1/2+*         ,6,1920, IS=99.9855 78
2,10,2H   ,  , 13135.722895,   0.000015,            ,           ,  , , , stbl    ,  ,        ,1+*           ,3,1932, IS=0.0145 78
3,10,3H   ,  , 14949.81090 ,   0.00008 ,            ,           ,  , , ,  12.32  , y, 0.02   ,1/2+*         ,0,1934, B-=100
3,20,3He  ,  , 14931.21888 ,   0.00006 ,            ,           ,  , , , stbl    ,  ,        ,1/2+*         ,98,1934, IS=0.0002 2
3,30,3Li  ,  , 28670#      ,2000#      ,            ,           ,  , , , p-unst  ,  ,        ,3/2-#         ,98,, p ?
4,10,4H   ,  , 24620       , 100       ,            ,           ,  , , , 139     ,ys, 10     ,2-            ,98,1981, n=100
4,20,4He  ,  ,  2424.91587 ,   0.00015 ,            ,           ,  , , , stbl    ,  ,        ,0+            ,98,1908, IS=99.9998 2
4,30,4Li  ,  , 25320       , 210       ,            ,           ,  , , ,  91     ,ys, 9      ,2-            ,98,1965, p=100
5,10,5H   ,  , 32890       ,  90       ,            ,           ,  , , ,  86     ,ys, 6      ,(1/2+)        ,19,1987, 2n=100
5,20,5He  ,  , 11231       ,  20       ,            ,           ,  , , , 602     ,ys, 22     ,3/2-          ,2,1937, n=100
5,30,5Li  ,  , 11680       ,  50       ,            ,           ,  , , , 370     ,ys, 30     ,3/2-          ,2,1941, p=100
5,40,5Be  ,  , 37140#      ,2000#      ,            ,           ,  , , , p-unst  ,  ,        ,1/2+#         ,18,, p ?
6,10,6H   ,  , 41880       , 250       ,            ,           ,  , , , 294     ,ys, 67     ,2-#           ,19,1984, n ?;3n ?
6,20,6He  ,  , 17592.10    ,   0.05    ,            ,           ,  , , , 806.92  ,ms, 0.24   ,0+            ,2,1936, B-=100;B-d=0.000278 18
6,30,6Li  ,  , 14086.8804  ,   0.0014  ,            ,           ,  , , , stbl    ,  ,        ,1+*           ,2,1921, IS=4.85 171
6,38,6Li  ,i , 17649.76    ,   0.10    , 3562.88    ,   0.10    ,  , , ,  56     ,as, 14     ,0+      T=1   ,2,1981, IT=100
6,40,6Be  ,  , 18375       ,   5       ,            ,           ,  , , ,   5.0   ,zs, 0.3    ,0+            ,2,1958, 2p=100
6,50,6B   ,  , 47320#      ,2000#      ,            ,           ,  , , , p-unst  ,  ,        ,2-#           ,,, 2p ?
7,10,7H   ,  , 49140#      ,1000#      ,            ,           ,  , , , 652     ,ys, 558    ,1/2+#         ,17,2003, 2n ?
7,20,7He  ,  , 26073       ,   8       ,            ,           ,  , , ,   2.51  ,zs, 0.07   ,(3/2)-        ,3,1967, n=100
7,30,7Li  ,  , 14907.105   ,   0.004   ,            ,           ,  , , , stbl    ,  ,        ,3/2-*         ,3,1921, IS=95.15 171
7,38,7Li  ,i , 26150       ,  30       ,11250       ,  30       ,RQ, , ,         ,  ,        ,3/2-    T=3/2 ,3,, 
7,40,7Be  ,  , 15769.00    ,   0.07    ,            ,           ,  , , ,  53.22  , d, 0.06   ,3/2-          ,3,1938, EC=100
7,48,7Be  ,i , 26750       ,  30       ,10980       ,  30       ,RQ, , ,         ,  ,        ,3/2-    T=3/2 ,3,, p ?;3He ?;A ?
7,50,7B   ,  , 27677       ,  25       ,            ,           ,  , , , 570     ,ys, 14     ,(3/2-)        ,14,1967, p=100
8,20,8He  ,  , 31609.68    ,   0.09    ,            ,           ,  , , , 119.5   ,ms, 1.5    ,0+            ,5,1965, B-=100;B-n=16 1;B-t=0.9 1
8,30,8Li  ,  , 20945.80    ,   0.05    ,            ,           ,  , , , 838.7   ,ms, 0.3    ,2+            ,5,1935, B-=100;B-A=100
8,38,8Li  ,i , 31768       ,   5       ,10822       ,   5       ,RQ, , ,         ,  ,        ,0+      T=2   ,5,, 
8,40,8Be  ,  ,  4941.67    ,   0.04    ,            ,           ,  , , ,  81.9   ,as, 3.7    ,0+            ,5,1932, A=100
8,48,8Be  ,i , 21568       ,   3       ,16626       ,   3       ,  , , ,         ,  ,        ,2+  frg T=1   ,,2004, A~100
8,49,8Be  ,j , 32436.0     ,   2.0     ,27494.3     ,   2.0     ,RQ, , ,         ,  ,        ,0+      T=2   ,5,, n=39.4;d=27.0;3H=11.7;A=7.9;p=6.9;3He=6.6;IT=0.60
8,50,8B   ,  , 22921.6     ,   1.0     ,            ,           ,  , , , 771.9   ,ms, 0.9    ,2+            ,5,1950, B+=100;B+A=100
8,58,8B   ,i , 33546       ,   8       ,10624       ,   8       ,RQ, , ,         ,  ,        ,0+      T=2   ,5,1975, 
8,60,8C   ,  , 35064       ,  18       ,            ,           ,  , , ,   3.5   ,zs, 1.4    ,0+            ,18,1974, 2p=100
9,20,9He  ,  , 40940       ,  50       ,            ,           ,  , , ,   2.5   ,zs, 2.3    ,1/2(+)        ,6,1987, n=100
9,30,9Li  ,  , 24954.91    ,   0.19    ,            ,           ,  , , , 178.2   ,ms, 0.4    ,3/2-          ,6,1951, B-=100;B-n=50.5 10
9,40,9Be  ,  , 11348.45    ,   0.08    ,            ,           ,  , , , stbl    ,  ,        ,3/2-*         ,6,1921, IS=100
9,48,9Be  ,i , 25738.8     ,   1.7     ,14390.3     ,   1.7     ,RQ, , ,   1.25  ,as, 0.10   ,3/2-    T=3/2 ,6,1976, 
9,50,9B   ,  , 12416.5     ,   0.9     ,            ,           ,  , , , 800     ,zs, 300    ,3/2-          ,6,1940, p=100
9,58,9B   ,i , 27071.0     ,   2.3     ,14654.5     ,   2.5     ,RQ, , ,         ,  ,        ,3/2-    T=3/2 ,6,, 
9,60,9C   ,  , 28911.0     ,   2.1     ,            ,           ,  , , , 126.5   ,ms, 0.9    ,3/2-          ,6,1964, B+=100;B+p=7.5 6;B+A=38.4 16
10,20,10He ,  , 49200       ,  90       ,            ,           ,  , , , 260     ,ys, 40     ,0+            ,7,1994, 2n=100
10,30,10Li ,  , 33053       ,  13       ,            ,           ,  , , ,   2.0   ,zs, 0.5    ,"(1-,2-)       ",7,1975, n=100
10,31,10Li ,m , 33250       ,  40       ,  200       ,  40       ,RQ, , ,   3.7   ,zs, 1.5    ,1+            ,7,1994, IT=100
10,32,10Li ,n , 33530       ,  40       ,  480       ,  40       ,RQ, , ,   1.35  ,zs, 0.24   ,(2+)          ,7,1993, IT=100
10,40,10Be ,  , 12607.49    ,   0.08    ,            ,           ,  , , ,   1.387 ,My, 0.012  ,0+            ,7,1935, B-=100
10,48,10Be ,i , 33787       ,  21       ,21179       ,  21       ,RQ, , ,         ,  ,        ,(2-)    T=2   ,7,, n ?;p ?;3H ?
10,50,10B  ,  , 12050.611   ,   0.015   ,            ,           ,  , , , stbl    ,  ,        ,3+*           ,7,1920, IS=19.65 44
10,58,10B  ,i , 13790.66    ,   0.04    , 1740.05    ,   0.04    ,  , , ,         ,  ,        ,0+      T=1   ,7,, IT=100
10,60,10C  ,  , 15698.67    ,   0.07    ,            ,           ,  , , ,  19.3011, s, 0.0015 ,0+            ,7,1949, B+=100
10,70,10N  ,  , 38800       , 400       ,            ,           ,  , , , 143     ,ys, 36     ,"1-,2-         ",17,2002, p ?
11,30,11Li ,  , 40728.3     ,   0.6     ,            ,           ,  , , ,   8.75  ,ms, 0.06   ,3/2-*         ,12,1966, B-=100;B-n=86.3 9;B-2n=4.1 4;B-3n=1.9 2;B-A=1.7 3;B-d=0.0130 13;B-t=0.0093 8
11,40,11Be ,  , 20177.17    ,   0.24    ,            ,           ,  , , ,  13.76  , s, 0.07   ,1/2+*         ,12,1958, B-=100;B-A=3.3 1;B-p=0.0013 3;B-n ?
11,48,11Be ,i , 41336       ,  20       ,21158       ,  20       ,RQ, , ,   0.93  ,zs, 0.13   ,3/2-    T=5/2 ,,1997, IT ?
11,50,11B  ,  ,  8667.708   ,   0.012   ,            ,           ,  , , , stbl    ,  ,        ,3/2-*         ,12,1920, IS=80.35 44
11,58,11B  ,i , 21228       ,   9       ,12560       ,   9       ,RQ, , ,         ,  , T=3/2  ,"1/2+,(3/2+)   ",12,1963, 
11,59,11B  ,j , 42230       ,  80       ,33570       ,  80       ,2p, , ,         ,  ,        ,3/2-    T=5/2 ,,, 
11,60,11C  ,  , 10649.40    ,   0.06    ,            ,           ,  , , ,  20.3402, m, 0.0053 ,3/2-*         ,12,1934, B+=100
11,68,11C  ,i , 22810       ,  40       ,12160       ,  40       ,RQ, , ,         ,  ,        ,1/2+    T=3/2 ,12,1971, p=?
11,70,11N  ,  , 24366       ,   5       ,            ,           ,  , , , 585     ,ys, 7      ,1/2+          ,12,1974, p=100
11,71,11N  ,m , 25110       ,  60       ,  740       ,  60       ,  , , , 690     ,ys, 80     ,1/2-          ,12,1974, p=100
11,80,11O  ,  , 47740       ,  60       ,            ,           ,  , , , 198     ,ys, 12     ,(3/2-)        ,20,2019, 2p=100
12,30,12Li ,  , 49010       ,  30       ,            ,           ,  , , ,         ,  ,        ,"(1-,2-)       ",17,2008, n ?
12,40,12Be ,  , 25077.8     ,   1.9     ,            ,           ,  , , ,  21.46  ,ms, 0.05   ,0+            ,17,1966, B-=100;B-n=0.50 3
12,41,12Be ,m , 27328.8     ,   2.1     , 2251       ,   1       ,  , , , 233     ,ns, 7      ,0+            ,17,2007, IT=100
12,50,12B  ,  , 13369.4     ,   1.3     ,            ,           ,  , , ,  20.20  ,ms, 0.02   ,1+*           ,17,1935, B-=100;B-A=0.60 2
12,58,12B  ,i , 26088       ,  19       ,12719       ,  19       ,RQ, , ,         ,  ,        ,0+      T=2   ,17,, 
12,60,12C  ,  ,     0.0     ,   0.0     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,17,1919, IS=98.94 6
12,68,12C  ,i , 15108       ,   3       ,15108       ,   3       ,RQ, , ,         ,  ,        ,1+      T=1   ,17,, IT=?;A ?
12,69,12C  ,j , 27595.0     ,   2.4     ,27595.0     ,   2.4     ,RQ, , ,         ,  ,        ,0+      T=2   ,17,, 
12,70,12N  ,  , 17338.1     ,   1.0     ,            ,           ,  , , ,  11.000 ,ms, 0.016  ,1+*           ,17,1949, B+=100;B+A=1.93 4
12,78,12N  ,i , 29580       ,   4       ,12242       ,   4       ,2p, , ,  >5     ,zs,        ,(0+)    T=2   ,17,, 
12,80,12O  ,  , 32013       ,  12       ,            ,           ,  , , ,   8.9   ,zs, 3.3    ,0+            ,17,1978, 2p=100
13,30,13Li ,  , 56980       ,  70       ,            ,           ,  , , ,   3.3   ,zs, 1.2    ,3/2-#         ,,2008, 2n=100
13,40,13Be ,  , 33659       ,  10       ,            ,           ,  , , ,   1.0   ,zs, 0.7    ,(1/2-)        ,,1983, n ?
13,43,13Be ,p , 35160       ,  50       , 1500       ,  50       ,RQ, , ,         ,  ,        ,(5/2+)        ,,1992, 
13,50,13B  ,  , 16561.9     ,   1.0     ,            ,           ,  , , ,  17.16  ,ms, 0.18   ,3/2-          ,0,1956, B-=100;B-n=0.266 36
13,60,13C  ,  ,  3125.0093  ,   0.0002  ,            ,           ,  , , , stbl    ,  ,        ,1/2-*         ,1,1929, IS=1.06 6
13,68,13C  ,i , 18233.8     ,   1.1     ,15108.8     ,   1.1     ,RQ, , ,         ,  ,        ,3/2-    T=3/2 ,0,, IT=0.82 7;n ?;A ?
13,70,13N  ,  ,  5345.48    ,   0.27    ,            ,           ,  , , ,   9.965 , m, 0.004  ,1/2-*         ,0,1934, B+=100
13,78,13N  ,i , 20410.59    ,   0.18    ,15065.1     ,   0.3     ,RQ, , ,         ,  ,        ,3/2-    T=3/2 ,0,, IT=4.9 3;p ?;A ?
13,80,13O  ,  , 23115       ,  10       ,            ,           ,  , , ,   8.58  ,ms, 0.05   ,(3/2-)        ,0,1963, B+=100;B+p=10.9 2
13,90,13F  ,  , 42030#      , 500#      ,            ,           ,  , , ,         ,  ,        ,1/2+#         ,,, p ?
14,40,14Be ,  , 39950       , 130       ,            ,           ,  , , ,   4.53  ,ms, 0.27   ,0+            ,1,1973, B-=100;B-n=86 6;B-2n=5 2;B-t=0.02 1;B-A<0.004
14,43,14Be ,p , 41470       ,  60       , 1520       , 150       ,RQ, , ,         ,  ,        ,(2+)          ,,1995, 
14,50,14B  ,  , 23664       ,  21       ,            ,           ,  , , ,  12.36  ,ms, 0.29   ,2-            ,1,1966, B-=100;B-n=6.04 23;B-2n ?
14,58,14B  ,i , 40728       ,  20       ,17065       ,  29       ,RQ, , ,   4.15  ,zs, 1.9    ,0+      T=3   ,,2001, IT ?
14,60,14C  ,  ,  3019.893   ,   0.004   ,            ,           ,  , , ,   5.70  ,ky, 0.03   ,0+            ,1,1936, B-=100
14,68,14C  ,i , 25120       , 100       ,22100       , 100       ,  , , ,         ,  ,        ,(2-)    T=2   ,1,1989, IT=100
14,70,14N  ,  ,  2863.4168  ,   0.0002  ,            ,           ,  , , , stbl    ,  ,        ,1+*           ,1,1920, IS=99.6205 247
14,78,14N  ,i ,  5176.007   ,   0.010   , 2312.590   ,   0.010   ,  , , ,         ,  ,        ,0+      T=1   ,1,1963, IT=100
14,80,14O  ,  ,  8007.781   ,   0.025   ,            ,           ,  , , ,  70.621 , s, 0.011  ,0+            ,1,1949, B+=100
14,90,14F  ,  , 31960       ,  40       ,            ,           ,  , , , 500     ,ys, 60     ,2-            ,14,2010, p ?
15,40,15Be ,  , 49830       , 170       ,            ,           ,  , , , 790     ,ys, 270    ,(5/2+)        ,15,2013, n=100
15,50,15B  ,  , 28957       ,  21       ,            ,           ,  , , ,  10.18  ,ms, 0.35   ,3/2-          ,2,1966, B-=100;B-n=98.7 10;B-2n<1.5
15,60,15C  ,  ,  9873.1     ,   0.8     ,            ,           ,  , , ,   2.449 , s, 0.005  ,1/2+          ,2,1950, B-=100
15,70,15N  ,  ,   101.4381  ,   0.0006  ,            ,           ,  , , , stbl    ,  ,        ,1/2-*         ,2,1929, IS=0.3795 247
15,78,15N  ,i , 11717       ,   4       ,11615       ,   4       ,RQ, , ,         ,  ,        ,1/2+    T=3/2 ,2,, n ?;p ?;IT=0.00523 19
15,80,15O  ,  ,  2855.6     ,   0.5     ,            ,           ,  , , , 122.266 , s, 0.043  ,1/2-*         ,2,1934, B+=100
15,88,15O  ,i , 14020#      ,  40#      ,11165#      ,  35#      ,  , , ,         ,  ,        ,(1/2+)  T=3/2 ,2,, p=100
15,90,15F  ,  , 16567       ,  14       ,            ,           ,  , , ,   1.1   ,zs, 0.3    ,1/2+          ,16,1978, p=100
15,100,15Ne ,  , 40220       ,  70       ,            ,           ,2p, , , 770     ,ys, 300    ,(3/2-)        ,14,2014, 2p=100
16,40,16Be ,  , 57450       , 170       ,            ,           ,  , , , 650     ,ys, 130    ,0+            ,15,2012, 2n=100
16,50,16B  ,  , 37112       ,  25       ,            ,           ,  , , ,  >4.6   ,zs,        ,0-#           ,16,2000, n ?
16,60,16C  ,  , 13694       ,   4       ,            ,           ,  , , , 750     ,ms, 6      ,0+            ,99,1961, B-=100;B-n=99.0 3
16,70,16N  ,  ,  5683.9     ,   2.3     ,            ,           ,  , , ,   7.13  , s, 0.02   ,2-            ,99,1933, B-=100;B-A=0.00154 5
16,71,16N  ,m ,  5804.3     ,   2.3     ,  120.42    ,   0.12    ,  , , ,   5.25  ,us, 0.06   ,0-      T=1   ,99,1957, IT~100;B-=0.000389 25
16,78,16N  ,i , 15613       ,   7       , 9929       ,   7       ,RQ, , ,         ,  ,        ,0+      T=2   ,99,, 
16,80,16O  ,  , -4737.0021  ,   0.0003  ,            ,           ,  , , , stbl    ,  ,        ,0+            ,99,1919, IS=99.757 11
16,83,16O  ,p ,  8231.60    ,   0.27    ,12968.6     ,   0.27    ,  , , ,         ,  ,        ,2-            ,99,, p=78 4;A=22 4;IT=0.28 3
16,88,16O  ,i ,  8059       ,   4       ,12796       ,   4       ,RQ, , ,         ,  ,        ,0-      T=1   ,99,, IT=100
16,89,16O  ,j , 17984       ,   4       ,22721       ,   4       ,RQ, , ,         ,  ,        ,0+      T=2   ,99,, 
16,90,16F  ,  , 10675       ,   5       ,            ,           ,  , , ,  21     ,zs, 5      ,0-            ,99,1964, p=100
16,100,16Ne ,  , 23987       ,  20       ,            ,           ,  , , ,  >5.7   ,zs,        ,0+            ,99,1977, 2p=100
17,50,17B  ,  , 43720       , 200       ,            ,           ,  , , ,   5.08  ,ms, 0.05   ,(3/2-)        ,99,1973, B-=100;B-n=63 1;B-2n=12 2;B-3n=3.5 7;B-4n=0.4 3                                                
17,60,17C  ,  , 21032       ,  17       ,            ,           ,  , , , 193     ,ms, 6      ,3/2+          ,17,1968, B-=100;B-n=28.4 13;B-2n ?
17,70,17N  ,  ,  7870       ,  15       ,            ,           ,  , , ,   4.173 , s, 0.004  ,1/2-          ,99,1949, B-=100;B-n=95.1 7;B-A=0.0025 4
17,80,17O  ,  ,  -808.7642  ,   0.0006  ,            ,           ,  , , , stbl    ,  ,        ,5/2+*         ,99,1925, IS=0.03835 96
17,88,17O  ,i , 10270.02    ,   0.17    ,11078.78    ,   0.17    ,RQ, , ,         ,  ,        ,1/2-    T=3/2 ,99,, B- ?;n ?;IT=0.42 14
17,90,17F  ,  ,  1951.70    ,   0.25    ,            ,           ,  , , ,  64.370 , s, 0.027  ,5/2+          ,99,1934, B+=100
17,98,17F  ,i , 13144.7     ,   1.9     ,11193.0     ,   1.9     ,RQ, , ,         ,  ,        ,1/2-    T=3/2 ,99,, 
17,100,17Ne ,  , 16500.5     ,   0.4     ,            ,           ,  , , , 109.2   ,ms, 0.6    ,1/2-*         ,99,1963, B+=100;B+p=94.4 29;B+A=3.51 1;B+pA=0.014 4
17,110,17Na ,  , 34720       ,  60       ,            ,           ,  , , ,         ,  ,        ,(1/2+)        ,17,2017, p=100
18,50,18B  ,  , 51790       , 200       ,            ,           ,  , , ,         ,  , <26 ns ,(2-)          ,16,2010, n=100
18,60,18C  ,  , 24920       ,  30       ,            ,           ,  , , ,  92     ,ms, 2      ,0+            ,17,1969, B-=100;B-n=31.5 15;B-2n ?
18,70,18N  ,  , 13113       ,  19       ,            ,           ,  , , , 619.2   ,ms, 1.9    ,1-            ,96,1964, B-=100;B-n=7.0 15;B-A=12.2 6;B-2n ?
18,80,18O  ,  ,  -782.8163  ,   0.0006  ,            ,           ,  , , , stbl    ,  ,        ,0+            ,96,1929, IS=0.2045 102
18,88,18O  ,i , 15495       ,  20       ,16278       ,  20       ,  , , ,         ,  ,        ,1-      T=2   ,,, 
18,90,18F  ,  ,   873.1     ,   0.5     ,            ,           ,  , , , 109.734 , m, 0.008  ,1+            ,96,1937, B+=100
18,91,18F  ,m ,  1994.5     ,   0.5     , 1121.36    ,   0.15    ,  , , , 162     ,ns, 7      ,5+            ,96,, IT=100
18,98,18F  ,i ,  1914.7     ,   0.5     , 1041.55    ,   0.08    ,  , , ,         ,  ,        ,0+      T=1   ,96,, IT=100
18,100,18Ne ,  ,  5317.6     ,   0.4     ,            ,           ,  , , ,1664.20  ,ms, 0.47   ,0+            ,96,1954, B+=100
18,110,18Na ,  , 25040       ,  90       ,            ,           ,  , , ,   1.3   ,zs, 0.4    ,1-#           ,15,2004, p=?
19,50,19B  ,  , 59770       , 530       ,            ,           ,  , , ,   2.92  ,ms, 0.13   ,(3/2-)        ,18,1984, B-=100;B-n=71 9;B-2n=17 5;B-3n<9.1
19,60,19C  ,  , 32410       , 100       ,            ,           ,  , , ,  46.2   ,ms, 2.3    ,1/2+          ,17,1974, B-=100;B-n=47 3;B-2n=7 3
19,70,19N  ,  , 15856       ,  16       ,            ,           ,  , , , 336     ,ms, 3      ,1/2-          ,96,1968, B-=100;B-n=41.8 9
19,80,19O  ,  ,  3332.9     ,   2.6     ,            ,           ,  , , ,  26.470 , s, 0.006  ,5/2+          ,96,1936, B-=100
19,90,19F  ,  , -1487.4451  ,   0.0008  ,            ,           ,  , , , stbl    ,  ,        ,1/2+*         ,96,1920, IS=100
19,98,19F  ,i ,  6052.2     ,   0.9     , 7539.6     ,   0.9     ,  , , ,         ,  ,        ,5/2+    T=3/2 ,96,, IT=100
19,100,19Ne ,  ,  1752.05    ,   0.16    ,            ,           ,  , , ,  17.2569, s, 0.0019 ,1/2+*         ,96,1939, B+=100
19,108,19Ne ,i ,  9253       ,   9       , 7501       ,   9       ,RQ, , ,         ,  ,        ,(5/2)+  T=3/2 ,96,, 
19,110,19Na ,  , 12929       ,  11       ,            ,           ,  , , ,  >1     ,as,        ,(5/2+)        ,15,1969, p=100
19,120,19Mg ,  , 31840       ,  60       ,            ,           ,  , , ,   5     ,ps, 3      ,1/2-#         ,14,2007, 2p=100
20,50,20B  ,  , 69400       , 550       ,            ,           ,  , , ,>912.4   ,ys,        ,"(1-,2-)       ",19,2018, n=100;B-n ?;B-2n ?
20,60,20C  ,  , 37500       , 230       ,            ,           ,  , , ,  16     ,ms, 3      ,0+            ,17,1981, B-=100;B-n=70 11;B-2n<18.6
20,70,20N  ,  , 21770       ,  80       ,            ,           ,  , , , 136     ,ms, 3      ,(2-)          ,18,1969, B-=100;B-n=42.9 14;B-2n ?
20,80,20O  ,  ,  3796.2     ,   0.9     ,            ,           ,  , , ,  13.51  , s, 0.05   ,0+            ,98,1959, B-=100
20,90,20F  ,  ,   -17.463   ,   0.030   ,            ,           ,  , , ,  11.0062, s, 0.0080 ,2+            ,98,1935, B-=100
20,98,20F  ,i ,  6503       ,   3       , 6521       ,   3       ,RQ, , ,         ,  ,        ,0+      T=2   ,98,, 
20,100,20Ne ,  , -7041.9322  ,   0.0015  ,            ,           ,  , , , stbl    ,  ,        ,0+            ,98,1913, IS=90.48 3
20,108,20Ne ,i ,  3230.5     ,   2.0     ,10272.5     ,   2.0     ,RQ, , ,         ,  ,        ,2+      T=1   ,98,, IT=100
20,109,20Ne ,j ,  9690.9     ,   2.8     ,16732.8     ,   2.8     ,RQ, , ,         ,  ,        ,0+      T=2   ,98,, IT=100
20,110,20Na ,  ,  6850.5     ,   1.1     ,            ,           ,  , , , 447.9   ,ms, 2.3    ,2+*           ,98,1950, B+=100;B+A=25.0 4
20,118,20Na ,i , 13348.9     ,   1.2     , 6498.4     ,   0.5     ,p , , ,         ,  ,        ,0+      T=2   ,98,1979, p=100
20,120,20Mg ,  , 17477.7     ,   1.9     ,            ,           ,  , , ,  90.4   ,ms, 0.5    ,0+            ,16,1974, B+=100;B+p=30.3 12
21,50,21B  ,  , 78380       , 560       ,            ,           ,  , , ,>760     ,ys,        ,(3/2-)        ,19,2018, 2n=100
21,60,21C  ,  , 45640#      , 600#      ,            ,           ,  , , ,         ,  , <30ns  ,1/2+#         ,15,, n ?
21,70,21N  ,  , 25230       , 130       ,            ,           ,  , , ,  85     ,ms, 5      ,(1/2-)        ,15,1970, B-=100;B-n=87 3;B-2n ?
21,80,21O  ,  ,  8062       ,  12       ,            ,           ,  , , ,   3.42  , s, 0.10   ,(5/2+)        ,15,1968, B-=100;B-n ?
21,90,21F  ,  ,   -47.6     ,   1.8     ,            ,           ,  , , ,   4.158 , s, 0.020  ,5/2+          ,15,1955, B-=100
21,100,21Ne ,  , -5731.78    ,   0.04    ,            ,           ,  , , , stbl    ,  ,        ,3/2+*         ,15,1928, IS=0.27 1
21,108,21Ne ,i ,  3129.0     ,   0.3     , 8860.8     ,   0.3     ,  , , ,         ,  ,        ,5/2+    T=3/2 ,15,, 
21,110,21Na ,  , -2184.86    ,   0.04    ,            ,           ,  , , ,  22.4550, s, 0.0054 ,3/2+*         ,15,1940, B+=100
21,118,21Na ,i ,  6790       ,   4       , 8975       ,   4       ,p , , ,         ,  ,        ,5/2+    T=3/2 ,15,, 
21,120,21Mg ,  , 10903.9     ,   0.8     ,            ,           ,  , , , 120.0   ,ms, 0.4    ,5/2+*         ,15,1963, B+=100;B+p=20.1 21;B+A=0.116 18;B+pA=0.016 3
21,130,21Al ,  , 27090#      , 600#      ,            ,           ,  , , ,         ,  , <35ns  ,5/2+#         ,15,, p ?
22,60,22C  ,  , 53610       , 230       ,            ,           ,  , , ,   6.2   ,ms, 1.3    ,0+            ,15,1986, B-=100;B-n=61 14;B-2n<37
22,70,22N  ,  , 31760       , 210       ,            ,           ,  , , ,  23     ,ms, 3      ,0-#           ,15,1979, B-=100;B-n=34 3;B-2n=12 3
22,80,22O  ,  ,  9280       ,  60       ,            ,           ,  , , ,   2.25  , s, 0.09   ,0+            ,15,1969, B-=100;B-n<22
22,90,22F  ,  ,  2793       ,  12       ,            ,           ,  , , ,   4.23  , s, 0.04   ,(4+)          ,15,1965, B-=100;B-n<11
22,100,22Ne ,  , -8024.716   ,   0.018   ,            ,           ,  , , , stbl    ,  ,        ,0+            ,15,1913, IS=9.25 3
22,108,22Ne ,i ,  5855       ,  10       ,13880       ,  10       ,  , , ,         ,  ,        ,4+      T=2   ,15,, 
22,110,22Na ,  , -5181.39    ,   0.13    ,            ,           ,  , , ,   2.6019, y, 0.0006 ,3+*           ,15,1935, B+=100;e+=90.57 8;EC=9.43 6
22,111,22Na ,m , -4598.34    ,   0.16    ,  583.05    ,   0.10    ,  , , , 243     ,ns, 2      ,1+            ,15,1958, IT=100
22,118,22Na ,i , -4524.39    ,   0.19    ,  657.00    ,   0.14    ,  , , ,  19.6   ,ps, 0.7    ,0+      T=1   ,15,, IT=100
22,120,22Mg ,  ,  -399.99    ,   0.16    ,            ,           ,  , , ,   3.8745, s, 0.0007 ,0+            ,15,1961, B+=100
22,128,22Mg ,i , 13644       ,   6       ,14044       ,   6       ,p , , ,         ,  ,        ,(4)+    T=2   ,15,, A=?;p=?
22,130,22Al ,  , 18200#      , 400#      ,            ,           ,  , , ,  91.1   ,ms, 0.5    ,(4)+          ,15,1982, B+=100;B+p=55 3;B+2p=1.10 11;B+A=0.038 17
22,140,22Si ,  , 33640#      , 500#      ,            ,           ,  , , ,  28.7   ,ms, 1.1    ,0+            ,15,1987, B+=100;B+p=62 5;B+2p=0.7 3
23,60,23C  ,  , 64170#      ,1000#      ,            ,           ,  , , ,         ,  ,        ,3/2+#         ,,, n ?
23,70,23N  ,  , 36720       , 420       ,            ,           ,  , , ,  13.9   ,ms, 1.4    ,1/2-#         ,21,1985, B-=100;B-n=42 6;B-2n=8 4;B-3n<3.4
23,80,23O  ,  , 14620       , 120       ,            ,           ,  , , ,  97     ,ms, 8      ,1/2+          ,21,1970, B-=100;B-n=7 2
23,90,23F  ,  ,  3290       ,  30       ,            ,           ,  , , ,   2.23  , s, 0.14   ,5/2+          ,21,1970, B-=100;B-n<14
23,100,23Ne ,  , -5154.05    ,   0.10    ,            ,           ,  , , ,  37.15  , s, 0.03   ,5/2+*         ,21,1936, B-=100
23,110,23Na ,  , -9529.8535  ,   0.0018  ,            ,           ,  , , , stbl    ,  ,        ,3/2+*         ,21,1921, IS=100
